Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
08/13/2026 10:00 AM ET,"516 DURANGO LOOP ST DAVENPORT, FL- 33897","$8,631.91","$89,895.00","$8,631.91",2025CC010562A000BA,262523488058000390,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CC010562A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/262523488058000390
08/14/2026 10:00 AM ET,"2742 WILLINGAM DR DAVENPORT, FL- 33837","$770,662.81","$552,422.00","$705,000.00",2024CA003851000000,282618932901020930,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA003851000000&bypassPage=1,https://pcpao.gov/Parcel-Details/282618932901020930
08/14/2026 10:00 AM ET,"7053 FLORA WAY LAKE WALES, FL- 33898","$247,961.23","$171,901.00","$247,961.23",2025CA003411A000BA,282833936200000920,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CA003411A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/282833936200000920
08/17/2026 10:00 AM ET,"4957 SHORE LINE DR POLK CITY, FL- 33868","$87,487.41","$149,071.00","$87,487.41",2023CA005403000000,252706298362000340,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023CA005403000000&bypassPage=1,https://pcpao.gov/Parcel-Details/252706298362000340
08/17/2026 10:00 AM ET,"1525 MATTIE POINTE PL AUBURNDALE, FL- 33823","$388,975.04","$291,717.00","$388,975.04",2024CA003089000000,252723300012001070,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA003089000000&bypassPage=1,https://pcpao.gov/Parcel-Details/252723300012001070
08/18/2026 10:00 AM ET,"502 CANAL DR LAKE WALES, FL- 33859","$187,070.64","$288,043.00","$187,070.64",2021CA001661000000,273035928400022050,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2021CA001661000000&bypassPage=1,https://pcpao.gov/Parcel-Details/273035928400022050
08/18/2026 10:00 AM ET,"105 REBECCA DR WINTER HAVEN, FL- 33881","$191,150.29","$56,153.00","$191,150.29",2025CA002306A000BA,262822588313000280,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CA002306A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/262822588313000280
08/18/2026 10:00 AM ET,"342 CREEKWOOD RUN LAKELAND, FL- 33809","$9,259.97","$159,113.00","$9,259.97",2025CC006624A000BA,232625000580001360,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CC006624A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/232625000580001360
08/18/2026 10:00 AM ET,"6727 MOSSY OAK LN LAKELAND, FL- 33810","$5,391.30","$297,141.00","$5,391.30",2025CC009183A000BA,232717001102000440,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CC009183A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/232717001102000440
08/19/2026 10:00 AM ET,"5752 CHERRY TREE DR LAKELAND, FL- 33811","$319,889.26","$243,570.00","$319,889.26",2025CA004121A000BA,232914141554000270,https://polk.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CA004121A000BA&bypassPage=1,https://pcpao.gov/Parcel-Details/232914141554000270
